,"U1","I1","U2","I2","U3","I3",
"$WaveData"
,-2.28E+00,17.500E+00,-520.67E+00,-17.043E+00,516.65E+00,-9.028E+00,
,518.46E+00,28.803E+00,0.80E+00,-9.551E+00,519.23E+00,-2.112E+00,
,-2.54E+00,18.693E+00,-519.63E+00,-17.498E+00,-2.67E+00,-10.707E+00,
,-1.34E+00,25.839E+00,0.60E+00,-9.535E+00,517.53E+00,-1.920E+00,
,-3.16E+00,15.356E+00,-521.29E+00,-20.593E+00,-2.18E+00,-19.135E+00,
,519.44E+00,23.670E+00,2.23E+00,-10.019E+00,520.30E+00,-3.681E+00,
,514.82E+00,20.379E+00,-0.24E+00,-15.410E+00,514.73E+00,-11.187E+00,
,516.74E+00,26.105E+00,0.93E+00,-8.676E+00,516.69E+00,-3.319E+00,
,-4.07E+00,17.439E+00,-1.12E+00,-16.267E+00,-3.15E+00,-11.601E+00,
,518.27E+00,23.818E+00,1.74E+00,-7.711E+00,519.26E+00,-4.284E+00,
,513.97E+00,19.352E+00,-0.44E+00,-14.301E+00,514.08E+00,-12.027E+00,
,516.02E+00,24.843E+00,0.60E+00,-8.821E+00,516.13E+00,-5.598E+00,
,-7.14E+00,18.250E+00,-522.78E+00,-14.516E+00,-2.93E+00,-13.877E+00,
,514.95E+00,26.920E+00,0.60E+00,-6.359E+00,517.44E+00,-2.704E+00,
,-7.40E+00,17.834E+00,-517.80E+00,-14.684E+00,-2.50E+00,-19.877E+00,
,516.71E+00,25.901E+00,0.80E+00,-6.554E+00,518.12E+00,-9.013E+00,
,513.61E+00,19.460E+00,-0.57E+00,-13.494E+00,513.76E+00,-14.761E+00,
,515.08E+00,24.905E+00,0.67E+00,-7.361E+00,515.16E+00,-7.787E+00,
,-3.98E+00,20.034E+00,-1.35E+00,-13.108E+00,-2.80E+00,-16.565E+00,
,514.49E+00,25.161E+00,1.22E+00,-6.373E+00,514.86E+00,-8.936E+00,
,-2.31E+00,18.338E+00,-2.52E+00,-12.646E+00,-1.92E+00,-15.703E+00,
,517.42E+00,26.267E+00,1.58E+00,-6.405E+00,518.15E+00,-7.595E+00,
,514.10E+00,19.884E+00,-0.60E+00,-9.967E+00,-2.11E+00,-15.447E+00,
,516.90E+00,25.550E+00,518.16E+00,-3.950E+00,515.51E+00,-8.296E+00,
,-3.85E+00,15.631E+00,-1.64E+00,-12.823E+00,-2.63E+00,-18.515E+00,
,517.32E+00,27.791E+00,519.59E+00,-1.376E+00,-0.91E+00,-8.433E+00,
,515.01E+00,16.279E+00,-0.63E+00,-14.083E+00,-1.85E+00,-18.952E+00,
,518.37E+00,23.525E+00,518.84E+00,-3.755E+00,517.34E+00,-10.805E+00,
,-2.54E+00,19.294E+00,-1.61E+00,-9.799E+00,-2.44E+00,-18.469E+00,
,516.74E+00,26.477E+00,1.42E+00,-2.403E+00,516.95E+00,-11.528E+00,
,-2.64E+00,15.521E+00,-2.56E+00,-8.640E+00,-2.31E+00,-18.715E+00,
,519.90E+00,24.774E+00,0.47E+00,-1.286E+00,520.17E+00,-12.360E+00,
,517.36E+00,17.477E+00,-0.50E+00,-7.411E+00,-2.47E+00,-19.825E+00,
,519.28E+00,23.477E+00,520.64E+00,-0.525E+00,518.71E+00,-11.179E+00,
,-2.84E+00,17.103E+00,-0.86E+00,-6.898E+00,-2.57E+00,-19.155E+00,
,518.73E+00,22.094E+00,520.99E+00,0.084E+00,-1.04E+00,-12.998E+00,
,-2.67E+00,17.997E+00,-0.96E+00,-9.955E+00,-2.44E+00,-26.732E+00,
,529.87E+00,24.487E+00,523.76E+00,0.045E+00,521.05E+00,-13.566E+00,
,519.61E+00,16.731E+00,-0.73E+00,-5.377E+00,519.88E+00,-22.022E+00,
,520.75E+00,23.232E+00,0.54E+00,1.648E+00,521.21E+00,-13.202E+00,
,-2.97E+00,16.171E+00,-1.81E+00,-6.041E+00,-2.37E+00,-21.091E+00,
,523.78E+00,24.670E+00,0.47E+00,1.813E+00,524.99E+00,-13.412E+00,
,521.36E+00,17.227E+00,-0.80E+00,-4.753E+00,-1.82E+00,-20.600E+00,
,524.07E+00,23.448E+00,524.32E+00,2.875E+00,522.97E+00,-13.474E+00,
,-4.69E+00,15.092E+00,-4.31E+00,-3.975E+00,-2.11E+00,-21.265E+00,
,523.16E+00,26.121E+00,524.67E+00,6.403E+00,0.36E+00,-11.799E+00,
,-2.61E+00,14.304E+00,-2.30E+00,-5.090E+00,-1.72E+00,-23.922E+00,
,525.21E+00,22.899E+00,526.27E+00,2.840E+00,0.66E+00,-15.058E+00,
,523.32E+00,16.030E+00,-2.33E+00,-3.004E+00,-0.55E+00,-23.059E+00,
,524.30E+00,22.668E+00,524.45E+00,4.375E+00,526.36E+00,-12.389E+00,
,-4.86E+00,14.458E+00,-2.88E+00,-0.059E+00,-1.88E+00,-23.968E+00,
,524.43E+00,20.363E+00,-0.15E+00,6.074E+00,526.49E+00,-17.166E+00,
,-2.18E+00,14.953E+00,-3.89E+00,1.097E+00,-0.29E+00,-23.587E+00,
,528.40E+00,22.103E+00,524.97E+00,12.405E+00,529.85E+00,-11.397E+00,
,523.78E+00,12.076E+00,523.92E+00,1.523E+00,-0.68E+00,-23.088E+00,
,525.21E+00,20.240E+00,525.36E+00,11.881E+00,0.53E+00,-15.189E+00,
,-2.80E+00,5.768E+00,-2.39E+00,-7.130E+00,-1.43E+00,-27.580E+00,
,527.75E+00,22.753E+00,528.16E+00,10.184E+00,0.49E+00,-13.578E+00,
,523.55E+00,13.335E+00,523.76E+00,1.511E+00,-0.61E+00,-23.855E+00,
,525.50E+00,18.947E+00,525.42E+00,8.054E+00,0.46E+00,-17.852E+00,
,-2.74E+00,12.342E+00,-2.98E+00,2.075E+00,-0.65E+00,-25.155E+00,
,525.63E+00,19.543E+00,437.88E+00,9.402E+00,527.73E+00,-17.166E+00,
,-2.77E+00,14.169E+00,-4.35E+00,0.808E+00,-0.87E+00,-24.030E+00,
,526.97E+00,19.735E+00,523.96E+00,13.850E+00,527.40E+00,-14.998E+00,
,521.63E+00,10.714E+00,521.74E+00,3.747E+00,-0.39E+00,-24.377E+00,
,523.74E+00,18.431E+00,523.60E+00,9.730E+00,0.66E+00,-17.178E+00,
,-4.92E+00,11.410E+00,-4.12E+00,6.043E+00,-0.97E+00,-23.581E+00,
,522.44E+00,23.926E+00,522.52E+00,15.595E+00,0.85E+00,-14.896E+00,
,-2.45E+00,9.506E+00,-2.13E+00,3.630E+00,-0.87E+00,-26.308E+00,
,525.21E+00,16.040E+00,525.16E+00,12.617E+00,0.59E+00,-17.008E+00,
,519.08E+00,8.294E+00,-2.43E+00,6.459E+00,-0.45E+00,-24.539E+00,
,523.32E+00,14.219E+00,521.32E+00,12.288E+00,524.89E+00,-17.987E+00,
,-2.77E+00,10.533E+00,-3.47E+00,6.825E+00,-0.42E+00,-24.080E+00,
,523.48E+00,17.423E+00,522.10E+00,16.593E+00,525.02E+00,-17.787E+00,
,519.05E+00,6.464E+00,518.94E+00,7.867E+00,-0.32E+00,-24.733E+00,
,521.79E+00,18.161E+00,521.64E+00,15.865E+00,0.92E+00,-17.139E+00,
,-2.71E+00,6.620E+00,-2.30E+00,8.701E+00,-0.35E+00,-24.144E+00,
,519.54E+00,16.263E+00,519.33E+00,17.271E+00,0.62E+00,-16.519E+00,
,-2.54E+00,4.593E+00,-2.26E+00,8.543E+00,-0.42E+00,-25.807E+00,
,523.52E+00,14.527E+00,523.21E+00,16.227E+00,2.06E+00,-15.698E+00,
,516.74E+00,5.032E+00,517.22E+00,8.626E+00,-0.32E+00,-24.308E+00,
,518.92E+00,11.412E+00,518.91E+00,14.256E+00,0.82E+00,-17.347E+00,
,-2.71E+00,8.026E+00,-2.65E+00,8.064E+00,-0.48E+00,-27.944E+00,
,522.24E+00,12.926E+00,517.83E+00,14.921E+00,525.29E+00,-19.045E+00,
,-2.45E+00,4.319E+00,-2.17E+00,10.444E+00,-522.05E+00,-24.063E+00,
,518.33E+00,11.866E+00,520.18E+00,16.991E+00,0.59E+00,-15.449E+00,
,515.47E+00,4.949E+00,515.59E+00,11.560E+00,-0.29E+00,-23.797E+00,
,517.23E+00,10.550E+00,516.96E+00,17.113E+00,0.82E+00,-17.449E+00,
